Group	Sample	Method	Read1	Read2
Tumor	LUAD_TP259	PE	UNCID_2193164.d54aa159-e398-4fd4-bd2c-a437e7766582.120423_UNC16-SN851_0151_AC0T1MACXX_2_ACTTGA.tar.gz	UNCID_2193164.d54aa159-e398-4fd4-bd2c-a437e7766582.120423_UNC16-SN851_0151_AC0T1MACXX_2_ACTTGA.tar.gz
Tumor	LUAD_TP26	PE	UNCID_2188217.2d452408-9d25-49e1-81db-542021eb28cb.120713_UNC11-SN627_0244_AD13UDACXX_7_TTAGGC.tar.gz	UNCID_2188217.2d452408-9d25-49e1-81db-542021eb28cb.120713_UNC11-SN627_0244_AD13UDACXX_7_TTAGGC.tar.gz
Tumor	LUAD_TP260	PE	UNCID_2193174.956590e9-4962-497b-a59f-81ee0a1c0caf.120423_UNC16-SN851_0151_AC0T1MACXX_3_CAGATC.tar.gz	UNCID_2193174.956590e9-4962-497b-a59f-81ee0a1c0caf.120423_UNC16-SN851_0151_AC0T1MACXX_3_CAGATC.tar.gz
Tumor	LUAD_TP261	PE	UNCID_2193213.109f2b77-1742-4afa-bcba-b763746fe080.120228_UNC12-SN629_0189_BD0LKPACXX_4_GGCTAC.tar.gz	UNCID_2193213.109f2b77-1742-4afa-bcba-b763746fe080.120228_UNC12-SN629_0189_BD0LKPACXX_4_GGCTAC.tar.gz
Tumor	LUAD_TP262	PE	UNCID_2193269.5893078d-d8cd-4c74-b0e2-d412e367710b.120425_UNC15-SN850_0197_AC0TK3ACXX_5_GGCTAC.tar.gz	UNCID_2193269.5893078d-d8cd-4c74-b0e2-d412e367710b.120425_UNC15-SN850_0197_AC0TK3ACXX_5_GGCTAC.tar.gz
Tumor	LUAD_TP263	PE	UNCID_2193293.7c6ef5e6-8116-4a21-ae62-88a5e420bcc1.120228_UNC12-SN629_0189_BD0LKPACXX_7_GATCAG.tar.gz	UNCID_2193293.7c6ef5e6-8116-4a21-ae62-88a5e420bcc1.120228_UNC12-SN629_0189_BD0LKPACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP264	PE	UNCID_2193307.f842dd09-8bea-47d4-8489-a9ac06ca5172.120425_UNC15-SN850_0197_AC0TK3ACXX_7_ACTTGA.tar.gz	UNCID_2193307.f842dd09-8bea-47d4-8489-a9ac06ca5172.120425_UNC15-SN850_0197_AC0TK3ACXX_7_ACTTGA.tar.gz
Tumor	LUAD_TP265	PE	UNCID_2193398.a6af2ef5-6774-422c-99d1-826a686334d0.120402_UNC9-SN296_0290_BC0M6TACXX_6_ACTTGA.tar.gz	UNCID_2193398.a6af2ef5-6774-422c-99d1-826a686334d0.120402_UNC9-SN296_0290_BC0M6TACXX_6_ACTTGA.tar.gz
Tumor	LUAD_TP266	PE	UNCID_2193408.4b847934-8dcb-451a-a0f1-a5f59bbd33db.120402_UNC9-SN296_0290_BC0M6TACXX_7_CGATGT.tar.gz	UNCID_2193408.4b847934-8dcb-451a-a0f1-a5f59bbd33db.120402_UNC9-SN296_0290_BC0M6TACXX_7_CGATGT.tar.gz
Tumor	LUAD_TP267	PE	UNCID_2193409.6f2e3098-e76b-411f-9d8e-cd8594ed1175.120402_UNC9-SN296_0290_BC0M6TACXX_7_GGCTAC.tar.gz	UNCID_2193409.6f2e3098-e76b-411f-9d8e-cd8594ed1175.120402_UNC9-SN296_0290_BC0M6TACXX_7_GGCTAC.tar.gz
Tumor	LUAD_TP268	PE	UNCID_2193411.a660dca3-d4cd-4d7e-93fd-6be7a622cc59.120402_UNC9-SN296_0290_BC0M6TACXX_5_CGATGT.tar.gz	UNCID_2193411.a660dca3-d4cd-4d7e-93fd-6be7a622cc59.120402_UNC9-SN296_0290_BC0M6TACXX_5_CGATGT.tar.gz
Tumor	LUAD_TP269	PE	UNCID_2193421.c9376fb2-9938-4516-88da-3fc03deeb6ee.120402_UNC9-SN296_0290_BC0M6TACXX_5_CAGATC.tar.gz	UNCID_2193421.c9376fb2-9938-4516-88da-3fc03deeb6ee.120402_UNC9-SN296_0290_BC0M6TACXX_5_CAGATC.tar.gz
Tumor	LUAD_TP27	PE	UNCID_2199881.5e45c9ab-f5fe-497b-b919-72b0d8dec83d.111206_UNC15-SN850_0154_BD080PACXX_2_TGACCA.tar.gz	UNCID_2199881.5e45c9ab-f5fe-497b-b919-72b0d8dec83d.111206_UNC15-SN850_0154_BD080PACXX_2_TGACCA.tar.gz
Tumor	LUAD_TP270	PE	UNCID_2193435.877fb28c-fcdd-4e75-8057-029c9ff31d26.120402_UNC9-SN296_0290_BC0M6TACXX_4_ATCACG.tar.gz	UNCID_2193435.877fb28c-fcdd-4e75-8057-029c9ff31d26.120402_UNC9-SN296_0290_BC0M6TACXX_4_ATCACG.tar.gz
Tumor	LUAD_TP271	PE	UNCID_2193441.167ca59a-5b32-4d99-8f91-2244b723dd87.120402_UNC9-SN296_0290_BC0M6TACXX_4_TGACCA.tar.gz	UNCID_2193441.167ca59a-5b32-4d99-8f91-2244b723dd87.120402_UNC9-SN296_0290_BC0M6TACXX_4_TGACCA.tar.gz
Tumor	LUAD_TP272	PE	UNCID_2193442.4ff760c4-074e-4876-b63f-71098942c780.120402_UNC9-SN296_0290_BC0M6TACXX_2_TGACCA.tar.gz	UNCID_2193442.4ff760c4-074e-4876-b63f-71098942c780.120402_UNC9-SN296_0290_BC0M6TACXX_2_TGACCA.tar.gz
Tumor	LUAD_TP273	PE	UNCID_2193443.9142e848-c5cb-41c1-b80f-5f7674f9a1cb.120402_UNC9-SN296_0290_BC0M6TACXX_3_CAGATC.tar.gz	UNCID_2193443.9142e848-c5cb-41c1-b80f-5f7674f9a1cb.120402_UNC9-SN296_0290_BC0M6TACXX_3_CAGATC.tar.gz
Tumor	LUAD_TP274	PE	UNCID_2193466.514e90fa-113f-48d7-9166-41096e0ad209.120402_UNC9-SN296_0290_BC0M6TACXX_1_GATCAG.tar.gz	UNCID_2193466.514e90fa-113f-48d7-9166-41096e0ad209.120402_UNC9-SN296_0290_BC0M6TACXX_1_GATCAG.tar.gz
Tumor	LUAD_TP275	PE	UNCID_2193604.7524ebc8-c57e-44d5-9a4e-b5ccce93bf55.120402_UNC9-SN296_0290_BC0M6TACXX_6_ACAGTG.tar.gz	UNCID_2193604.7524ebc8-c57e-44d5-9a4e-b5ccce93bf55.120402_UNC9-SN296_0290_BC0M6TACXX_6_ACAGTG.tar.gz
Tumor	LUAD_TP276	PE	UNCID_2193689.8a5cfa5b-2dab-4775-ae08-3d7e0b36e93f.120405_UNC10-SN254_0345_AD0VAVACXX_6_GGCTAC.tar.gz	UNCID_2193689.8a5cfa5b-2dab-4775-ae08-3d7e0b36e93f.120405_UNC10-SN254_0345_AD0VAVACXX_6_GGCTAC.tar.gz
Tumor	LUAD_TP277	PE	UNCID_2193690.0168f22b-6d11-4492-9aea-5ffa451bff3e.120402_UNC9-SN296_0290_BC0M6TACXX_2_ATCACG.tar.gz	UNCID_2193690.0168f22b-6d11-4492-9aea-5ffa451bff3e.120402_UNC9-SN296_0290_BC0M6TACXX_2_ATCACG.tar.gz
Tumor	LUAD_TP278	PE	UNCID_2193693.f274e34b-e111-47e0-8fff-5c338d387d76.120405_UNC10-SN254_0345_AD0VAVACXX_7_CTTGTA.tar.gz	UNCID_2193693.f274e34b-e111-47e0-8fff-5c338d387d76.120405_UNC10-SN254_0345_AD0VAVACXX_7_CTTGTA.tar.gz
Tumor	LUAD_TP279	PE	UNCID_2193699.3163dcdb-7a0f-428d-94be-9fc140cca0ca.120402_UNC9-SN296_0290_BC0M6TACXX_8_ACAGTG.tar.gz	UNCID_2193699.3163dcdb-7a0f-428d-94be-9fc140cca0ca.120402_UNC9-SN296_0290_BC0M6TACXX_8_ACAGTG.tar.gz
Tumor	LUAD_TP28	PE	UNCID_2193652.51eae0de-8f16-4093-b42e-5c34c4768459.120405_UNC10-SN254_0345_AD0VAVACXX_7_GGCTAC.tar.gz	UNCID_2193652.51eae0de-8f16-4093-b42e-5c34c4768459.120405_UNC10-SN254_0345_AD0VAVACXX_7_GGCTAC.tar.gz
Tumor	LUAD_TP280	PE	UNCID_2193816.a237a685-c274-4cc9-ae4d-64398d2ba92e.120423_UNC16-SN851_0151_AC0T1MACXX_4_ATCACG.tar.gz	UNCID_2193816.a237a685-c274-4cc9-ae4d-64398d2ba92e.120423_UNC16-SN851_0151_AC0T1MACXX_4_ATCACG.tar.gz
Tumor	LUAD_TP281	PE	UNCID_2193947.d4349207-30b1-44ad-b460-14db8ea58cc4.120327_UNC13-SN749_0162_AC0LTLACXX_8_CTTGTA.tar.gz	UNCID_2193947.d4349207-30b1-44ad-b460-14db8ea58cc4.120327_UNC13-SN749_0162_AC0LTLACXX_8_CTTGTA.tar.gz
Tumor	LUAD_TP282	PE	UNCID_2193988.ea6af137-a116-4a32-9436-a9470abb3b10.120327_UNC13-SN749_0162_AC0LTLACXX_8_TTAGGC.tar.gz	UNCID_2193988.ea6af137-a116-4a32-9436-a9470abb3b10.120327_UNC13-SN749_0162_AC0LTLACXX_8_TTAGGC.tar.gz
Tumor	LUAD_TP283	PE	UNCID_2193989.b2d849d8-f837-43e4-b06c-051f041172ae.120327_UNC13-SN749_0162_AC0LTLACXX_7_GATCAG.tar.gz	UNCID_2193989.b2d849d8-f837-43e4-b06c-051f041172ae.120327_UNC13-SN749_0162_AC0LTLACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP284	PE	UNCID_2193992.71772580-ecde-4cbb-a3b5-d58b50b496c5.120423_UNC16-SN851_0151_AC0T1MACXX_6_GATCAG.tar.gz	UNCID_2193992.71772580-ecde-4cbb-a3b5-d58b50b496c5.120423_UNC16-SN851_0151_AC0T1MACXX_6_GATCAG.tar.gz
Tumor	LUAD_TP285	PE	UNCID_2194046.f8d65338-5f5e-4cf5-a119-25faf54453d4.120327_UNC13-SN749_0162_AC0LTLACXX_6_CTTGTA.tar.gz	UNCID_2194046.f8d65338-5f5e-4cf5-a119-25faf54453d4.120327_UNC13-SN749_0162_AC0LTLACXX_6_CTTGTA.tar.gz
Tumor	LUAD_TP286	PE	UNCID_2194065.4be7594c-c6ff-47c3-bb57-22ba6489b0f4.120327_UNC13-SN749_0162_AC0LTLACXX_6_TTAGGC.tar.gz	UNCID_2194065.4be7594c-c6ff-47c3-bb57-22ba6489b0f4.120327_UNC13-SN749_0162_AC0LTLACXX_6_TTAGGC.tar.gz
Tumor	LUAD_TP287	PE	UNCID_2194152.6deb91e8-110b-444d-93c8-72cd04e4746a.120327_UNC13-SN749_0162_AC0LTLACXX_5_TAGCTT.tar.gz	UNCID_2194152.6deb91e8-110b-444d-93c8-72cd04e4746a.120327_UNC13-SN749_0162_AC0LTLACXX_5_TAGCTT.tar.gz
Tumor	LUAD_TP288	PE	UNCID_2194492.8b1695b3-8abd-4bfc-98e4-7d0ad20a5acc.120327_UNC13-SN749_0162_AC0LTLACXX_7_GCCAAT.tar.gz	UNCID_2194492.8b1695b3-8abd-4bfc-98e4-7d0ad20a5acc.120327_UNC13-SN749_0162_AC0LTLACXX_7_GCCAAT.tar.gz
Tumor	LUAD_TP289	PE	UNCID_2194737.0bfc47d8-bd48-49e9-8d37-6a418d049aef.120405_UNC10-SN254_0345_AD0VAVACXX_8_CTTGTA.tar.gz	UNCID_2194737.0bfc47d8-bd48-49e9-8d37-6a418d049aef.120405_UNC10-SN254_0345_AD0VAVACXX_8_CTTGTA.tar.gz
Tumor	LUAD_TP29	PE	UNCID_2197655.4f5215c3-7763-49f8-afe7-b3ce3474afe2.120113_UNC14-SN744_0200_AC0F4CACXX_2_CTTGTA.tar.gz	UNCID_2197655.4f5215c3-7763-49f8-afe7-b3ce3474afe2.120113_UNC14-SN744_0200_AC0F4CACXX_2_CTTGTA.tar.gz
Tumor	LUAD_TP290	PE	UNCID_2195861.84c8990e-7656-4c48-8e5a-b03e2013013d.120228_UNC16-SN851_0132_BC0J5LACXX_7_CAGATC.tar.gz	UNCID_2195861.84c8990e-7656-4c48-8e5a-b03e2013013d.120228_UNC16-SN851_0132_BC0J5LACXX_7_CAGATC.tar.gz
Tumor	LUAD_TP291	PE	UNCID_2195869.006eb1bc-b058-49b9-8c2d-3c50f2427d95.120228_UNC16-SN851_0132_BC0J5LACXX_6_GCCAAT.tar.gz	UNCID_2195869.006eb1bc-b058-49b9-8c2d-3c50f2427d95.120228_UNC16-SN851_0132_BC0J5LACXX_6_GCCAAT.tar.gz
Tumor	LUAD_TP292	PE	UNCID_2195872.193873d4-f0ad-4e8d-918b-9beb83965483.120228_UNC16-SN851_0132_BC0J5LACXX_5_TGACCA.tar.gz	UNCID_2195872.193873d4-f0ad-4e8d-918b-9beb83965483.120228_UNC16-SN851_0132_BC0J5LACXX_5_TGACCA.tar.gz
Tumor	LUAD_TP293	PE	UNCID_2195874.ff74b4c6-e938-4a40-ab1a-84525349a62e.120228_UNC16-SN851_0132_BC0J5LACXX_5_CAGATC.tar.gz	UNCID_2195874.ff74b4c6-e938-4a40-ab1a-84525349a62e.120228_UNC16-SN851_0132_BC0J5LACXX_5_CAGATC.tar.gz
Tumor	LUAD_TP294	PE	UNCID_2195885.a91960e0-f237-419e-aa57-f90ceb12fcde.120228_UNC16-SN851_0132_BC0J5LACXX_4_TAGCTT.tar.gz	UNCID_2195885.a91960e0-f237-419e-aa57-f90ceb12fcde.120228_UNC16-SN851_0132_BC0J5LACXX_4_TAGCTT.tar.gz
Tumor	LUAD_TP295	PE	UNCID_2195911.479528a6-12ed-4e7b-8ca6-cf9fe6baa6de.120228_UNC16-SN851_0132_BC0J5LACXX_4_ATCACG.tar.gz	UNCID_2195911.479528a6-12ed-4e7b-8ca6-cf9fe6baa6de.120228_UNC16-SN851_0132_BC0J5LACXX_4_ATCACG.tar.gz
Tumor	LUAD_TP296	PE	UNCID_2195912.2cbd77bd-dece-4177-ace2-98d9d545b575.120228_UNC16-SN851_0132_BC0J5LACXX_3_CGATGT.tar.gz	UNCID_2195912.2cbd77bd-dece-4177-ace2-98d9d545b575.120228_UNC16-SN851_0132_BC0J5LACXX_3_CGATGT.tar.gz
Tumor	LUAD_TP297	PE	UNCID_2195923.5deb51ff-a271-4fc4-90b6-3bdb0c508967.120228_UNC16-SN851_0132_BC0J5LACXX_1_GCCAAT.tar.gz	UNCID_2195923.5deb51ff-a271-4fc4-90b6-3bdb0c508967.120228_UNC16-SN851_0132_BC0J5LACXX_1_GCCAAT.tar.gz
Tumor	LUAD_TP298	PE	UNCID_2195938.30642287-a06f-46e0-8e37-839935a2d3dc.120228_UNC16-SN851_0132_BC0J5LACXX_2_GATCAG.tar.gz	UNCID_2195938.30642287-a06f-46e0-8e37-839935a2d3dc.120228_UNC16-SN851_0132_BC0J5LACXX_2_GATCAG.tar.gz
Tumor	LUAD_TP299	PE	UNCID_2195976.3d86f6ec-741c-4da5-836e-28b029b32706.120228_UNC16-SN851_0132_BC0J5LACXX_2_ACAGTG.tar.gz	UNCID_2195976.3d86f6ec-741c-4da5-836e-28b029b32706.120228_UNC16-SN851_0132_BC0J5LACXX_2_ACAGTG.tar.gz
Tumor	LUAD_TP3	PE	UNCID_2197526.af2f26d9-617a-42f3-a083-352d5e576460.120113_UNC14-SN744_0200_AC0F4CACXX_4_CAGATC.tar.gz	UNCID_2197526.af2f26d9-617a-42f3-a083-352d5e576460.120113_UNC14-SN744_0200_AC0F4CACXX_4_CAGATC.tar.gz
Tumor	LUAD_TP30	PE	UNCID_2200406.cb72fb22-d492-432c-8188-82fce70c071c.111130_UNC10-SN254_0310_BC06BYACXX_7_TTAGGC.tar.gz	UNCID_2200406.cb72fb22-d492-432c-8188-82fce70c071c.111130_UNC10-SN254_0310_BC06BYACXX_7_TTAGGC.tar.gz
Tumor	LUAD_TP300	PE	UNCID_2196731.597e959c-bab8-4234-b57b-1b8413de7955.120228_UNC16-SN851_0132_BC0J5LACXX_6_TAGCTT.tar.gz	UNCID_2196731.597e959c-bab8-4234-b57b-1b8413de7955.120228_UNC16-SN851_0132_BC0J5LACXX_6_TAGCTT.tar.gz
Tumor	LUAD_TP301	PE	UNCID_2196741.9334a61d-eb4f-4504-9f4d-b9d55a8733de.120228_UNC16-SN851_0132_BC0J5LACXX_3_GCCAAT.tar.gz	UNCID_2196741.9334a61d-eb4f-4504-9f4d-b9d55a8733de.120228_UNC16-SN851_0132_BC0J5LACXX_3_GCCAAT.tar.gz
Tumor	LUAD_TP302	PE	UNCID_2196834.6d1614e8-67cb-4551-a447-ae3b94990d70.120125_UNC10-SN254_0321_AD0J8PACXX_8_ACTTGA.tar.gz	UNCID_2196834.6d1614e8-67cb-4551-a447-ae3b94990d70.120125_UNC10-SN254_0321_AD0J8PACXX_8_ACTTGA.tar.gz
Tumor	LUAD_TP303	PE	UNCID_2196845.ddb17f24-f233-40dc-bbbd-731e50d4fce4.120125_UNC10-SN254_0321_AD0J8PACXX_7_GGCTAC.tar.gz	UNCID_2196845.ddb17f24-f233-40dc-bbbd-731e50d4fce4.120125_UNC10-SN254_0321_AD0J8PACXX_7_GGCTAC.tar.gz
Tumor	LUAD_TP304	PE	UNCID_2196850.46ba6b5d-e758-4c4d-bbbf-8ec31fdd24e7.120125_UNC10-SN254_0321_AD0J8PACXX_8_CTTGTA.tar.gz	UNCID_2196850.46ba6b5d-e758-4c4d-bbbf-8ec31fdd24e7.120125_UNC10-SN254_0321_AD0J8PACXX_8_CTTGTA.tar.gz
Tumor	LUAD_TP305	PE	UNCID_2196852.e1bbe3cc-e58e-45d6-82a7-57e8d202e7e6.120125_UNC10-SN254_0321_AD0J8PACXX_6_CGATGT.tar.gz	UNCID_2196852.e1bbe3cc-e58e-45d6-82a7-57e8d202e7e6.120125_UNC10-SN254_0321_AD0J8PACXX_6_CGATGT.tar.gz
Tumor	LUAD_TP306	PE	UNCID_2196853.aa29c7b0-8641-4a59-8b17-c007b3cb8726.120125_UNC10-SN254_0321_AD0J8PACXX_7_TTAGGC.tar.gz	UNCID_2196853.aa29c7b0-8641-4a59-8b17-c007b3cb8726.120125_UNC10-SN254_0321_AD0J8PACXX_7_TTAGGC.tar.gz
Tumor	LUAD_TP307	PE	UNCID_2196856.dbe8b05d-9b51-4d93-9e04-9609a5dd4cb8.120125_UNC10-SN254_0321_AD0J8PACXX_6_CAGATC.tar.gz	UNCID_2196856.dbe8b05d-9b51-4d93-9e04-9609a5dd4cb8.120125_UNC10-SN254_0321_AD0J8PACXX_6_CAGATC.tar.gz
Tumor	LUAD_TP308	PE	UNCID_2196861.29f0cffb-22a7-40a7-964d-9b84d7c5b442.120125_UNC10-SN254_0321_AD0J8PACXX_5_GCCAAT.tar.gz	UNCID_2196861.29f0cffb-22a7-40a7-964d-9b84d7c5b442.120125_UNC10-SN254_0321_AD0J8PACXX_5_GCCAAT.tar.gz
Tumor	LUAD_TP309	PE	UNCID_2196863.6a45204a-96c6-4617-a4cc-27f71c05170b.120125_UNC10-SN254_0321_AD0J8PACXX_5_TAGCTT.tar.gz	UNCID_2196863.6a45204a-96c6-4617-a4cc-27f71c05170b.120125_UNC10-SN254_0321_AD0J8PACXX_5_TAGCTT.tar.gz
