Group	Sample	Method	Read1	Read2
Tumor	LUAD_TP31	PE	UNCID_2199399.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.111229_UNC15-SN850_0157_AD0MHHACXX_3_CTTGTA.tar.gz	UNCID_2199399.09fba9fa-29d2-41a1-b3aa-4bfd97be3fc8.111229_UNC15-SN850_0157_AD0MHHACXX_3_CTTGTA.tar.gz
Tumor	LUAD_TP310	PE	UNCID_2196887.987c7eea-648f-4feb-8239-0b9151a74331.120125_UNC10-SN254_0321_AD0J8PACXX_4_GATCAG.tar.gz	UNCID_2196887.987c7eea-648f-4feb-8239-0b9151a74331.120125_UNC10-SN254_0321_AD0J8PACXX_4_GATCAG.tar.gz
Tumor	LUAD_TP311	PE	UNCID_2196888.274a99f3-1b61-48f3-afab-11088c63f488.120125_UNC10-SN254_0321_AD0J8PACXX_4_ATCACG.tar.gz	UNCID_2196888.274a99f3-1b61-48f3-afab-11088c63f488.120125_UNC10-SN254_0321_AD0J8PACXX_4_ATCACG.tar.gz
Tumor	LUAD_TP312	PE	UNCID_2196889.d41fd6e3-f45d-40df-86bc-7fb9d2e3cdd3.120125_UNC10-SN254_0321_AD0J8PACXX_2_GGCTAC.tar.gz	UNCID_2196889.d41fd6e3-f45d-40df-86bc-7fb9d2e3cdd3.120125_UNC10-SN254_0321_AD0J8PACXX_2_GGCTAC.tar.gz
Tumor	LUAD_TP313	PE	UNCID_2196906.db278ebc-bf83-43c0-8a60-a863786ea973.120125_UNC10-SN254_0321_AD0J8PACXX_2_CTTGTA.tar.gz	UNCID_2196906.db278ebc-bf83-43c0-8a60-a863786ea973.120125_UNC10-SN254_0321_AD0J8PACXX_2_CTTGTA.tar.gz
Tumor	LUAD_TP314	PE	UNCID_2196907.f9faf081-c497-44a3-9df1-da2be95e41d0.120125_UNC10-SN254_0321_AD0J8PACXX_1_GATCAG.tar.gz	UNCID_2196907.f9faf081-c497-44a3-9df1-da2be95e41d0.120125_UNC10-SN254_0321_AD0J8PACXX_1_GATCAG.tar.gz
Tumor	LUAD_TP315	PE	UNCID_2196908.330a29fe-e4ec-458b-8d1f-05f147ac98d9.120125_UNC10-SN254_0321_AD0J8PACXX_3_ACAGTG.tar.gz	UNCID_2196908.330a29fe-e4ec-458b-8d1f-05f147ac98d9.120125_UNC10-SN254_0321_AD0J8PACXX_3_ACAGTG.tar.gz
Tumor	LUAD_TP316	PE	UNCID_2196909.fb59e5ad-650a-4620-af05-9e8cb6c402ea.120125_UNC10-SN254_0321_AD0J8PACXX_1_TAGCTT.tar.gz	UNCID_2196909.fb59e5ad-650a-4620-af05-9e8cb6c402ea.120125_UNC10-SN254_0321_AD0J8PACXX_1_TAGCTT.tar.gz
Tumor	LUAD_TP317	PE	UNCID_2197064.7d27cfbf-870f-45e8-80a9-7e3848f414dc.111122_UNC13-SN749_0137_BD098JACXX_8_ATCACG.tar.gz	UNCID_2197064.7d27cfbf-870f-45e8-80a9-7e3848f414dc.111122_UNC13-SN749_0137_BD098JACXX_8_ATCACG.tar.gz
Tumor	LUAD_TP318	PE	UNCID_2197079.f51ff2e2-bc0a-4cdd-b008-933a8f7fa8fc.111122_UNC13-SN749_0137_BD098JACXX_8_GGCTAC.tar.gz	UNCID_2197079.f51ff2e2-bc0a-4cdd-b008-933a8f7fa8fc.111122_UNC13-SN749_0137_BD098JACXX_8_GGCTAC.tar.gz
Tumor	LUAD_TP319	PE	UNCID_2197098.149e2d5d-3d6c-410e-b435-7e37b3f96661.111122_UNC13-SN749_0137_BD098JACXX_7_ATCACG.tar.gz	UNCID_2197098.149e2d5d-3d6c-410e-b435-7e37b3f96661.111122_UNC13-SN749_0137_BD098JACXX_7_ATCACG.tar.gz
Tumor	LUAD_TP32	PE	UNCID_2188292.b3cb327b-b0d4-478f-8dac-75abdb6365eb.120713_UNC11-SN627_0244_AD13UDACXX_1_TTAGGC.tar.gz	UNCID_2188292.b3cb327b-b0d4-478f-8dac-75abdb6365eb.120713_UNC11-SN627_0244_AD13UDACXX_1_TTAGGC.tar.gz
Tumor	LUAD_TP320	PE	UNCID_2197134.a1510fc9-aff1-4cc2-8d8e-9aafce9319f7.111122_UNC13-SN749_0137_BD098JACXX_6_ATCACG.tar.gz	UNCID_2197134.a1510fc9-aff1-4cc2-8d8e-9aafce9319f7.111122_UNC13-SN749_0137_BD098JACXX_6_ATCACG.tar.gz
Tumor	LUAD_TP321	PE	UNCID_2197167.891aefa4-e7f1-482f-a2f5-b2d5c7d9e179.111122_UNC13-SN749_0137_BD098JACXX_6_TTAGGC.tar.gz	UNCID_2197167.891aefa4-e7f1-482f-a2f5-b2d5c7d9e179.111122_UNC13-SN749_0137_BD098JACXX_6_TTAGGC.tar.gz
Tumor	LUAD_TP322	PE	UNCID_2197177.7f9f381e-edb1-4a5e-b5f7-c31b2a769912.111122_UNC13-SN749_0137_BD098JACXX_4_TTAGGC.tar.gz	UNCID_2197177.7f9f381e-edb1-4a5e-b5f7-c31b2a769912.111122_UNC13-SN749_0137_BD098JACXX_4_TTAGGC.tar.gz
Tumor	LUAD_TP323	PE	UNCID_2197180.9a28482f-36a7-490f-9d22-a69f82fbfc05.111122_UNC13-SN749_0137_BD098JACXX_3_TTAGGC.tar.gz	UNCID_2197180.9a28482f-36a7-490f-9d22-a69f82fbfc05.111122_UNC13-SN749_0137_BD098JACXX_3_TTAGGC.tar.gz
Tumor	LUAD_TP324	PE	UNCID_2197184.f118c45b-544d-45eb-8acd-a4c8cfcab3fd.111122_UNC13-SN749_0137_BD098JACXX_7_GATCAG.tar.gz	UNCID_2197184.f118c45b-544d-45eb-8acd-a4c8cfcab3fd.111122_UNC13-SN749_0137_BD098JACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP325	PE	UNCID_2197185.82b154a5-b4d5-4737-8f79-10d252741963.111122_UNC13-SN749_0137_BD098JACXX_2_ATCACG.tar.gz	UNCID_2197185.82b154a5-b4d5-4737-8f79-10d252741963.111122_UNC13-SN749_0137_BD098JACXX_2_ATCACG.tar.gz
Tumor	LUAD_TP326	PE	UNCID_2197201.a0c2dedc-803a-4097-8225-653262fbf394.111122_UNC13-SN749_0137_BD098JACXX_1_ATCACG.tar.gz	UNCID_2197201.a0c2dedc-803a-4097-8225-653262fbf394.111122_UNC13-SN749_0137_BD098JACXX_1_ATCACG.tar.gz
Tumor	LUAD_TP327	PE	UNCID_2197215.f338175a-fa1e-4b98-91e2-f4f0ee349e8e.111122_UNC13-SN749_0137_BD098JACXX_5_GATCAG.tar.gz	UNCID_2197215.f338175a-fa1e-4b98-91e2-f4f0ee349e8e.111122_UNC13-SN749_0137_BD098JACXX_5_GATCAG.tar.gz
Tumor	LUAD_TP328	PE	UNCID_2197228.0c0cfdfb-107b-4a20-bfda-7922453c041e.111122_UNC13-SN749_0137_BD098JACXX_3_GATCAG.tar.gz	UNCID_2197228.0c0cfdfb-107b-4a20-bfda-7922453c041e.111122_UNC13-SN749_0137_BD098JACXX_3_GATCAG.tar.gz
Tumor	LUAD_TP329	PE	UNCID_2197262.cc6ff65b-c9fe-4992-971c-3c9a61caeec1.120126_UNC9-SN296_0268_AD0JFTACXX_5_GGCTAC.tar.gz	UNCID_2197262.cc6ff65b-c9fe-4992-971c-3c9a61caeec1.120126_UNC9-SN296_0268_AD0JFTACXX_5_GGCTAC.tar.gz
Tumor	LUAD_TP33	PE	UNCID_2200550.29af0307-5d76-462d-beee-18e8c4f179b8.111118_UNC11-SN627_0168_BC059VACXX_8_ATCACG.tar.gz	UNCID_2200550.29af0307-5d76-462d-beee-18e8c4f179b8.111118_UNC11-SN627_0168_BC059VACXX_8_ATCACG.tar.gz
Tumor	LUAD_TP330	PE	UNCID_2197270.4af52410-54ab-4307-96a0-b80579d18e0b.120126_UNC9-SN296_0268_AD0JFTACXX_6_CTTGTA.tar.gz	UNCID_2197270.4af52410-54ab-4307-96a0-b80579d18e0b.120126_UNC9-SN296_0268_AD0JFTACXX_6_CTTGTA.tar.gz
Tumor	LUAD_TP331	PE	UNCID_2197278.a8873600-a0a6-4880-b933-2cbcfb274233.120126_UNC9-SN296_0268_AD0JFTACXX_6_ACTTGA.tar.gz	UNCID_2197278.a8873600-a0a6-4880-b933-2cbcfb274233.120126_UNC9-SN296_0268_AD0JFTACXX_6_ACTTGA.tar.gz
Tumor	LUAD_TP332	PE	UNCID_2197283.cc748956-075e-4433-9640-274ee42bdba8.120126_UNC9-SN296_0268_AD0JFTACXX_4_CAGATC.tar.gz	UNCID_2197283.cc748956-075e-4433-9640-274ee42bdba8.120126_UNC9-SN296_0268_AD0JFTACXX_4_CAGATC.tar.gz
Tumor	LUAD_TP333	PE	UNCID_2197292.02e43817-47d3-4436-bcfa-37dd510eec4c.120126_UNC9-SN296_0268_AD0JFTACXX_3_TAGCTT.tar.gz	UNCID_2197292.02e43817-47d3-4436-bcfa-37dd510eec4c.120126_UNC9-SN296_0268_AD0JFTACXX_3_TAGCTT.tar.gz
Tumor	LUAD_TP334	PE	UNCID_2197299.56982118-0f10-47b2-af05-18b037c73f22.120126_UNC9-SN296_0268_AD0JFTACXX_2_GATCAG.tar.gz	UNCID_2197299.56982118-0f10-47b2-af05-18b037c73f22.120126_UNC9-SN296_0268_AD0JFTACXX_2_GATCAG.tar.gz
Tumor	LUAD_TP335	PE	UNCID_2197303.614ad2cf-7744-4ce1-b684-b6a57827e8c8.120126_UNC9-SN296_0268_AD0JFTACXX_3_GCCAAT.tar.gz	UNCID_2197303.614ad2cf-7744-4ce1-b684-b6a57827e8c8.120126_UNC9-SN296_0268_AD0JFTACXX_3_GCCAAT.tar.gz
Tumor	LUAD_TP336	PE	UNCID_2197304.b4a82c9e-4b14-42ed-8d33-6494ec475827.120126_UNC9-SN296_0268_AD0JFTACXX_1_ATCACG.tar.gz	UNCID_2197304.b4a82c9e-4b14-42ed-8d33-6494ec475827.120126_UNC9-SN296_0268_AD0JFTACXX_1_ATCACG.tar.gz
Tumor	LUAD_TP337	PE	UNCID_2197309.8c957960-d5a3-4d07-a3aa-6c13b16fff0e.120126_UNC9-SN296_0268_AD0JFTACXX_2_CGATGT.tar.gz	UNCID_2197309.8c957960-d5a3-4d07-a3aa-6c13b16fff0e.120126_UNC9-SN296_0268_AD0JFTACXX_2_CGATGT.tar.gz
Tumor	LUAD_TP338	PE	UNCID_2197316.4b57bac2-6b38-435f-b935-8eb6a3369d1c.111122_UNC13-SN749_0136_AC050YACXX_8_TTAGGC.tar.gz	UNCID_2197316.4b57bac2-6b38-435f-b935-8eb6a3369d1c.111122_UNC13-SN749_0136_AC050YACXX_8_TTAGGC.tar.gz
Tumor	LUAD_TP339	PE	UNCID_2197317.10c6a96f-b119-43a8-8dfa-9af13bce53b9.111122_UNC13-SN749_0136_AC050YACXX_6_GGCTAC.tar.gz	UNCID_2197317.10c6a96f-b119-43a8-8dfa-9af13bce53b9.111122_UNC13-SN749_0136_AC050YACXX_6_GGCTAC.tar.gz
Tumor	LUAD_TP34	PE	UNCID_2200663.472518f5-c62b-4e50-9ea9-077a44a8f117.111118_UNC11-SN627_0168_BC059VACXX_1_ATCACG.tar.gz	UNCID_2200663.472518f5-c62b-4e50-9ea9-077a44a8f117.111118_UNC11-SN627_0168_BC059VACXX_1_ATCACG.tar.gz
Tumor	LUAD_TP340	PE	UNCID_2197324.e6aecb65-29f2-48de-a8a0-55b25fbafef1.120126_UNC9-SN296_0268_AD0JFTACXX_4_TTAGGC.tar.gz	UNCID_2197324.e6aecb65-29f2-48de-a8a0-55b25fbafef1.120126_UNC9-SN296_0268_AD0JFTACXX_4_TTAGGC.tar.gz
Tumor	LUAD_TP341	PE	UNCID_2197325.2e8a5454-24d7-4059-ac17-595dcfccaf0b.111122_UNC13-SN749_0136_AC050YACXX_5_TTAGGC.tar.gz	UNCID_2197325.2e8a5454-24d7-4059-ac17-595dcfccaf0b.111122_UNC13-SN749_0136_AC050YACXX_5_TTAGGC.tar.gz
Tumor	LUAD_TP342	PE	UNCID_2197334.2680c851-cb71-4c87-a789-6448b1f66faf.120126_UNC9-SN296_0268_AD0JFTACXX_5_TGACCA.tar.gz	UNCID_2197334.2680c851-cb71-4c87-a789-6448b1f66faf.120126_UNC9-SN296_0268_AD0JFTACXX_5_TGACCA.tar.gz
Tumor	LUAD_TP343	PE	UNCID_2197358.554a301f-fbc8-41f2-96e9-5da2ee943727.111122_UNC13-SN749_0136_AC050YACXX_4_GGCTAC.tar.gz	UNCID_2197358.554a301f-fbc8-41f2-96e9-5da2ee943727.111122_UNC13-SN749_0136_AC050YACXX_4_GGCTAC.tar.gz
Tumor	LUAD_TP344	PE	UNCID_2197372.6047b848-8fe8-4aab-81a7-2df3f31f7392.111122_UNC13-SN749_0136_AC050YACXX_3_ATCACG.tar.gz	UNCID_2197372.6047b848-8fe8-4aab-81a7-2df3f31f7392.111122_UNC13-SN749_0136_AC050YACXX_3_ATCACG.tar.gz
Tumor	LUAD_TP345	PE	UNCID_2197473.ccf84703-a5c7-4995-a1c2-b3e4e15d99b7.111122_UNC13-SN749_0136_AC050YACXX_4_ATCACG.tar.gz	UNCID_2197473.ccf84703-a5c7-4995-a1c2-b3e4e15d99b7.111122_UNC13-SN749_0136_AC050YACXX_4_ATCACG.tar.gz
Tumor	LUAD_TP346	PE	UNCID_2197475.69d106c0-b3e7-4918-a442-d142dce3adab.111122_UNC13-SN749_0136_AC050YACXX_8_ATCACG.tar.gz	UNCID_2197475.69d106c0-b3e7-4918-a442-d142dce3adab.111122_UNC13-SN749_0136_AC050YACXX_8_ATCACG.tar.gz
Tumor	LUAD_TP347	PE	UNCID_2197478.dbe34afe-ea16-4faa-adab-9106a92dfde6.111122_UNC13-SN749_0136_AC050YACXX_2_ATCACG.tar.gz	UNCID_2197478.dbe34afe-ea16-4faa-adab-9106a92dfde6.111122_UNC13-SN749_0136_AC050YACXX_2_ATCACG.tar.gz
Tumor	LUAD_TP348	PE	UNCID_2197481.15be34fa-d099-42d0-98ca-e66c83a16790.111122_UNC13-SN749_0136_AC050YACXX_1_GGCTAC.tar.gz	UNCID_2197481.15be34fa-d099-42d0-98ca-e66c83a16790.111122_UNC13-SN749_0136_AC050YACXX_1_GGCTAC.tar.gz
Tumor	LUAD_TP349	PE	UNCID_2197493.f61ba831-745d-468c-a3b0-0229000926f5.120113_UNC14-SN744_0200_AC0F4CACXX_7_TTAGGC.tar.gz	UNCID_2197493.f61ba831-745d-468c-a3b0-0229000926f5.120113_UNC14-SN744_0200_AC0F4CACXX_7_TTAGGC.tar.gz
Tumor	LUAD_TP35	PE	UNCID_2198736.50b1d328-57c8-44ab-9c1a-a2bdbc40c6a4.120104_UNC16-SN851_0120_BD0J72ACXX_3_GCCAAT.tar.gz	UNCID_2198736.50b1d328-57c8-44ab-9c1a-a2bdbc40c6a4.120104_UNC16-SN851_0120_BD0J72ACXX_3_GCCAAT.tar.gz
Tumor	LUAD_TP350	PE	UNCID_2197499.91449ec2-a03f-4cc8-8738-4819564d9dae.120126_UNC9-SN296_0268_AD0JFTACXX_1_ACAGTG.tar.gz	UNCID_2197499.91449ec2-a03f-4cc8-8738-4819564d9dae.120126_UNC9-SN296_0268_AD0JFTACXX_1_ACAGTG.tar.gz
Tumor	LUAD_TP351	PE	UNCID_2197504.09a88dca-7503-4fcb-b42a-ac5af9fdbca7.111122_UNC13-SN749_0136_AC050YACXX_7_GATCAG.tar.gz	UNCID_2197504.09a88dca-7503-4fcb-b42a-ac5af9fdbca7.111122_UNC13-SN749_0136_AC050YACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP352	PE	UNCID_2197505.20c29e50-f961-465c-aa22-12e9ab187e71.111122_UNC13-SN749_0136_AC050YACXX_3_GATCAG.tar.gz	UNCID_2197505.20c29e50-f961-465c-aa22-12e9ab187e71.111122_UNC13-SN749_0136_AC050YACXX_3_GATCAG.tar.gz
Tumor	LUAD_TP353	PE	UNCID_2197507.b74b611d-7090-4beb-ae34-13086884a7e3.111122_UNC13-SN749_0136_AC050YACXX_6_TTAGGC.tar.gz	UNCID_2197507.b74b611d-7090-4beb-ae34-13086884a7e3.111122_UNC13-SN749_0136_AC050YACXX_6_TTAGGC.tar.gz
Tumor	LUAD_TP354	PE	UNCID_2197546.f398c31b-c947-4ba7-84c0-6d3b36daaf3f.120113_UNC14-SN744_0200_AC0F4CACXX_6_CGATGT.tar.gz	UNCID_2197546.f398c31b-c947-4ba7-84c0-6d3b36daaf3f.120113_UNC14-SN744_0200_AC0F4CACXX_6_CGATGT.tar.gz
Tumor	LUAD_TP355	PE	UNCID_2197670.64f425a9-2260-4cd3-8ddd-c43ac410b1a4.120113_UNC14-SN744_0200_AC0F4CACXX_7_GATCAG.tar.gz	UNCID_2197670.64f425a9-2260-4cd3-8ddd-c43ac410b1a4.120113_UNC14-SN744_0200_AC0F4CACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP356	PE	UNCID_2197684.38574f35-5845-4a7d-8657-da3d8757a0eb.120113_UNC14-SN744_0200_AC0F4CACXX_1_GGCTAC.tar.gz	UNCID_2197684.38574f35-5845-4a7d-8657-da3d8757a0eb.120113_UNC14-SN744_0200_AC0F4CACXX_1_GGCTAC.tar.gz
Tumor	LUAD_TP357	PE	UNCID_2197688.3bc1fe5d-5eff-46f2-adf6-e6bc8b7e8f90.120113_UNC14-SN744_0200_AC0F4CACXX_1_TAGCTT.tar.gz	UNCID_2197688.3bc1fe5d-5eff-46f2-adf6-e6bc8b7e8f90.120113_UNC14-SN744_0200_AC0F4CACXX_1_TAGCTT.tar.gz
Tumor	LUAD_TP358	PE	UNCID_2198231.6ed236e4-faf1-4d23-bccd-341688b034c3.111122_UNC13-SN749_0136_AC050YACXX_5_GATCAG.tar.gz	UNCID_2198231.6ed236e4-faf1-4d23-bccd-341688b034c3.111122_UNC13-SN749_0136_AC050YACXX_5_GATCAG.tar.gz
Tumor	LUAD_TP359	PE	UNCID_2198438.8966f44c-9452-4e21-9fad-142ea03c9bff.120113_UNC14-SN744_0200_AC0F4CACXX_6_ACTTGA.tar.gz	UNCID_2198438.8966f44c-9452-4e21-9fad-142ea03c9bff.120113_UNC14-SN744_0200_AC0F4CACXX_6_ACTTGA.tar.gz
Tumor	LUAD_TP36	PE	UNCID_2200262.e3958992-3206-4cdd-8bc9-38fd43853800.111129_UNC10-SN254_0309_AD095JACXX_7_ATCACG.tar.gz	UNCID_2200262.e3958992-3206-4cdd-8bc9-38fd43853800.111129_UNC10-SN254_0309_AD095JACXX_7_ATCACG.tar.gz
Tumor	LUAD_TP360	PE	UNCID_2198716.aa1dfe29-6e97-4b20-b439-1d06455dfc56.120104_UNC16-SN851_0120_BD0J72ACXX_7_ACTTGA.tar.gz	UNCID_2198716.aa1dfe29-6e97-4b20-b439-1d06455dfc56.120104_UNC16-SN851_0120_BD0J72ACXX_7_ACTTGA.tar.gz
Tumor	LUAD_TP361	PE	UNCID_2198720.0cfbefba-24ff-474b-8bfa-b44a1f71b48c.120104_UNC16-SN851_0120_BD0J72ACXX_8_GATCAG.tar.gz	UNCID_2198720.0cfbefba-24ff-474b-8bfa-b44a1f71b48c.120104_UNC16-SN851_0120_BD0J72ACXX_8_GATCAG.tar.gz
Tumor	LUAD_TP362	PE	UNCID_2198766.66b0fb5a-0587-4d01-8960-29c19c0b0b20.120104_UNC16-SN851_0120_BD0J72ACXX_1_CGATGT.tar.gz	UNCID_2198766.66b0fb5a-0587-4d01-8960-29c19c0b0b20.120104_UNC16-SN851_0120_BD0J72ACXX_1_CGATGT.tar.gz
Tumor	LUAD_TP363	PE	UNCID_2198864.5a775e87-c4e5-4875-bc64-e2e2a59376e8.120109_UNC15-SN850_0161_AD0J66ACXX_8_GATCAG.tar.gz	UNCID_2198864.5a775e87-c4e5-4875-bc64-e2e2a59376e8.120109_UNC15-SN850_0161_AD0J66ACXX_8_GATCAG.tar.gz
Tumor	LUAD_TP364	PE	UNCID_2198881.bbf4c600-a4c5-4ad6-8842-d90639aab690.120109_UNC15-SN850_0161_AD0J66ACXX_7_ACTTGA.tar.gz	UNCID_2198881.bbf4c600-a4c5-4ad6-8842-d90639aab690.120109_UNC15-SN850_0161_AD0J66ACXX_7_ACTTGA.tar.gz
Tumor	LUAD_TP365	PE	UNCID_2198905.44205bf0-b593-4c0d-9aeb-4e604314e10f.120109_UNC15-SN850_0161_AD0J66ACXX_6_CTTGTA.tar.gz	UNCID_2198905.44205bf0-b593-4c0d-9aeb-4e604314e10f.120109_UNC15-SN850_0161_AD0J66ACXX_6_CTTGTA.tar.gz
Tumor	LUAD_TP366	PE	UNCID_2198912.8a8e816b-8067-4ffe-ac37-f3ac2e0a29c4.120109_UNC15-SN850_0161_AD0J66ACXX_2_CGATGT.tar.gz	UNCID_2198912.8a8e816b-8067-4ffe-ac37-f3ac2e0a29c4.120109_UNC15-SN850_0161_AD0J66ACXX_2_CGATGT.tar.gz
Tumor	LUAD_TP367	PE	UNCID_2198917.8d895d3d-9598-459b-813e-3fc84dd3efe8.120109_UNC15-SN850_0161_AD0J66ACXX_5_CAGATC.tar.gz	UNCID_2198917.8d895d3d-9598-459b-813e-3fc84dd3efe8.120109_UNC15-SN850_0161_AD0J66ACXX_5_CAGATC.tar.gz
Tumor	LUAD_TP368	PE	UNCID_2199474.5655a240-2ed7-469e-af17-9997547ea119.111229_UNC15-SN850_0157_AD0MHHACXX_2_GCCAAT.tar.gz	UNCID_2199474.5655a240-2ed7-469e-af17-9997547ea119.111229_UNC15-SN850_0157_AD0MHHACXX_2_GCCAAT.tar.gz
Tumor	LUAD_TP369	PE	UNCID_2199595.a9c81a18-bc29-4fac-83b2-bbd8047599bd.111206_UNC15-SN850_0153_AD081TACXX_7_GGCTAC.tar.gz	UNCID_2199595.a9c81a18-bc29-4fac-83b2-bbd8047599bd.111206_UNC15-SN850_0153_AD081TACXX_7_GGCTAC.tar.gz
Tumor	LUAD_TP37	PE	UNCID_2198749.821a5315-e4a2-4005-b5fc-572b32a2386a.120104_UNC16-SN851_0120_BD0J72ACXX_2_TTAGGC.tar.gz	UNCID_2198749.821a5315-e4a2-4005-b5fc-572b32a2386a.120104_UNC16-SN851_0120_BD0J72ACXX_2_TTAGGC.tar.gz
Tumor	LUAD_TP370	PE	UNCID_2199620.84138ee7-b120-4201-95b1-ccdc1c82ebda.111206_UNC15-SN850_0153_AD081TACXX_6_ATCACG.tar.gz	UNCID_2199620.84138ee7-b120-4201-95b1-ccdc1c82ebda.111206_UNC15-SN850_0153_AD081TACXX_6_ATCACG.tar.gz
Tumor	LUAD_TP371	PE	UNCID_2199671.43a90c23-bff9-45ae-a5b5-c65f343d1cdc.111206_UNC15-SN850_0153_AD081TACXX_7_ATCACG.tar.gz	UNCID_2199671.43a90c23-bff9-45ae-a5b5-c65f343d1cdc.111206_UNC15-SN850_0153_AD081TACXX_7_ATCACG.tar.gz
Tumor	LUAD_TP372	PE	UNCID_2199715.7dfdb65a-8f75-4223-8e5c-bb13f1d8eb3b.111206_UNC15-SN850_0153_AD081TACXX_3_GGCTAC.tar.gz	UNCID_2199715.7dfdb65a-8f75-4223-8e5c-bb13f1d8eb3b.111206_UNC15-SN850_0153_AD081TACXX_3_GGCTAC.tar.gz
Tumor	LUAD_TP373	PE	UNCID_2199826.46b786be-8c30-4025-aa29-708c76bb4bcf.111206_UNC15-SN850_0153_AD081TACXX_1_GGCTAC.tar.gz	UNCID_2199826.46b786be-8c30-4025-aa29-708c76bb4bcf.111206_UNC15-SN850_0153_AD081TACXX_1_GGCTAC.tar.gz
Tumor	LUAD_TP374	PE	UNCID_2199827.89dda3b6-2905-4577-9b74-965fb7f77c98.111206_UNC15-SN850_0153_AD081TACXX_4_GATCAG.tar.gz	UNCID_2199827.89dda3b6-2905-4577-9b74-965fb7f77c98.111206_UNC15-SN850_0153_AD081TACXX_4_GATCAG.tar.gz
Tumor	LUAD_TP375	PE	UNCID_2199828.33f213fa-6fa4-48ed-bd7e-a63ed8c3a8da.111206_UNC15-SN850_0153_AD081TACXX_4_GGCTAC.tar.gz	UNCID_2199828.33f213fa-6fa4-48ed-bd7e-a63ed8c3a8da.111206_UNC15-SN850_0153_AD081TACXX_4_GGCTAC.tar.gz
Tumor	LUAD_TP376	PE	UNCID_2199829.0621fd32-18bd-4720-846b-4bf47453d296.111206_UNC15-SN850_0154_BD080PACXX_8_GGCTAC.tar.gz	UNCID_2199829.0621fd32-18bd-4720-846b-4bf47453d296.111206_UNC15-SN850_0154_BD080PACXX_8_GGCTAC.tar.gz
Tumor	LUAD_TP377	PE	UNCID_2199832.2662f59e-0959-4fbf-a8bf-6ad639e44005.111206_UNC15-SN850_0153_AD081TACXX_6_GATCAG.tar.gz	UNCID_2199832.2662f59e-0959-4fbf-a8bf-6ad639e44005.111206_UNC15-SN850_0153_AD081TACXX_6_GATCAG.tar.gz
Tumor	LUAD_TP378	PE	UNCID_2199833.b2aba2a6-3b30-41bb-a4cc-74f36b60a114.111206_UNC15-SN850_0153_AD081TACXX_3_GATCAG.tar.gz	UNCID_2199833.b2aba2a6-3b30-41bb-a4cc-74f36b60a114.111206_UNC15-SN850_0153_AD081TACXX_3_GATCAG.tar.gz
Tumor	LUAD_TP379	PE	UNCID_2199836.f5a01f2f-247a-42a0-a713-ba6f8bb8d03e.111206_UNC15-SN850_0154_BD080PACXX_7_TTAGGC.tar.gz	UNCID_2199836.f5a01f2f-247a-42a0-a713-ba6f8bb8d03e.111206_UNC15-SN850_0154_BD080PACXX_7_TTAGGC.tar.gz
Tumor	LUAD_TP38	PE	UNCID_2187845.0c96bb0f-11f1-421c-b2c5-55458ba95d97.120724_UNC11-SN627_0247_AC0Y10ACXX_6_TTAGGC.tar.gz	UNCID_2187845.0c96bb0f-11f1-421c-b2c5-55458ba95d97.120724_UNC11-SN627_0247_AC0Y10ACXX_6_TTAGGC.tar.gz
Tumor	LUAD_TP380	PE	UNCID_2199838.94a591be-8b32-4680-b2ad-fc856f3f0c8e.111206_UNC15-SN850_0153_AD081TACXX_1_ATCACG.tar.gz	UNCID_2199838.94a591be-8b32-4680-b2ad-fc856f3f0c8e.111206_UNC15-SN850_0153_AD081TACXX_1_ATCACG.tar.gz
Tumor	LUAD_TP381	PE	UNCID_2199843.271766c9-819e-4555-89d7-dc7a52203386.111206_UNC15-SN850_0153_AD081TACXX_2_GATCAG.tar.gz	UNCID_2199843.271766c9-819e-4555-89d7-dc7a52203386.111206_UNC15-SN850_0153_AD081TACXX_2_GATCAG.tar.gz
Tumor	LUAD_TP382	PE	UNCID_2199849.dac01b76-c2a3-4041-b704-97f1afc2c4d3.111206_UNC15-SN850_0154_BD080PACXX_3_ACAGTG.tar.gz	UNCID_2199849.dac01b76-c2a3-4041-b704-97f1afc2c4d3.111206_UNC15-SN850_0154_BD080PACXX_3_ACAGTG.tar.gz
Tumor	LUAD_TP383	PE	UNCID_2199890.bfad522f-6130-424d-8497-99cac9714966.111206_UNC15-SN850_0154_BD080PACXX_7_GATCAG.tar.gz	UNCID_2199890.bfad522f-6130-424d-8497-99cac9714966.111206_UNC15-SN850_0154_BD080PACXX_7_GATCAG.tar.gz
Tumor	LUAD_TP384	PE	UNCID_2199899.5ec48286-3f47-49eb-83ba-a1169f734bba.111206_UNC15-SN850_0154_BD080PACXX_5_GATCAG.tar.gz	UNCID_2199899.5ec48286-3f47-49eb-83ba-a1169f734bba.111206_UNC15-SN850_0154_BD080PACXX_5_GATCAG.tar.gz
Tumor	LUAD_TP385	PE	UNCID_2199907.0f61b005-3643-4a6b-a075-bffb7320a2f3.111206_UNC15-SN850_0154_BD080PACXX_8_ATCACG.tar.gz	UNCID_2199907.0f61b005-3643-4a6b-a075-bffb7320a2f3.111206_UNC15-SN850_0154_BD080PACXX_8_ATCACG.tar.gz
